1628381,341,59,606
1628382,17,9,20
1628384,248,91,760
1628386,456,79,661
1628389,489,157,1052
1628392,343,48,282
1628396,10,1,12
1628398,386,204,1084
1628401,171,181,558
1628404,409,200,473
1628408,2,0,5
1628410,67,61,312
1628415,162,126,734
1628416,2,0,9
1628418,274,28,492
1628420,149,241,471
1628427,80,50,194
1628432,49,16,74
1628436,137,33,179
1628449,274,21,459
1628464,4,1,8
1628467,78,21,137
1628470,296,79,418
1628960,170,125,521
1628962,27,5,30
1628963,148,14,265
1628964,184,42,290
1628966,123,36,299
1628969,235,199,944
1628971,212,186,581
1628972,201,48,331
1628973,175,311,1159
1628975,135,137,382
1628976,288,87,494
1628977,154,44,378
1628978,191,140,366
1628981,107,29,114
1628983,231,270,1488
1628984,72,113,274
1628988,62,65,209
1628989,162,144,724
1628991,234,30,579
1628993,10,1,7
1628995,107,15,237
1628997,218,73,447
1628998,24,11,35
1629001,211,132,526
1629002,118,24,192
1629003,137,154,466
1629004,7,1,21
1629006,139,55,230
1629008,197,38,590
1629012,91,111,583
1629013,51,67,286
1629014,140,209,1122
1629018,116,74,888
1629020,409,142,432
1629021,162,53,370
1629022,82,48,514
1629023,240,129,782
1629026,218,85,343
1629027,136,463,1270
1629028,470,98,829
1629029,416,387,1569
1629033,28,13,41
1629048,49,18,69
1629052,160,25,264
1629056,90,48,251
1629057,153,32,156
1629060,128,35,390
1629060,37,3,68
1629060,165,38,458
1629111,186,42,316
1629117,165,19,270
1629130,54,33,194
1629134,55,34,262
1629134,12,10,47
1629134,67,44,309
1629139,106,33,263
1629162,30,65,73
1629216,89,103,371
1629234,238,53,294
1629308,61,25,81
1629312,145,27,183
1629599,48,48,149
1629603,11,2,26
1629611,198,115,467
1629614,137,192,399
1629622,185,110,648
1629626,311,41,523
1629627,202,133,754
1629628,260,136,970
1629629,31,20,168
1629630,257,366,1201
1629631,189,62,702
1629632,116,83,373
1629633,38,6,44
1629634,251,54,480
1629636,126,368,989
1629637,87,24,150
1629638,59,76,228
1629639,241,187,858
1629640,225,125,1022
1629641,92,43,237
1629642,73,26,183
1629643,76,26,98
1629644,34,13,46
1629645,218,225,767
